"","home_team","away_team","home_score","away_score","tournament","city","country","neutral","gameresult"
"16989","Other","Other",0,1,"CFU Caribbean Cup","San Fernando","Trinidad and Tobago",TRUE,"2"
"16990","Other","Other",4,1,"Friendly","Maputo","Other",FALSE,"1"
"16991","Other","Martinique",1,4,"CFU Caribbean Cup","Port of Spain","Trinidad and Tobago",TRUE,"2"
"16992","Other","Other",0,1,"Friendly","Libreville","Other",FALSE,"2"
"16993","Sweden","Germany",2,3,"UEFA Euro","Solna","Sweden",FALSE,"2"
"16994","Thailand","South Korea",2,1,"AFC Asian Cup qualification","Bangkok","Thailand",FALSE,"1"
"16995","Uruguay","Other",2,0,"Friendly","Montevideo","Uruguay",FALSE,"1"
"16996","Other","Other",0,0,"CFU Caribbean Cup","San Fernando","Trinidad and Tobago",TRUE,"0"
"16997","Netherlands","Denmark",2,2,"UEFA Euro","Gothenburg","Sweden",TRUE,"0"
"16998","Thailand","Other",1,0,"AFC Asian Cup qualification","Bangkok","Thailand",FALSE,"1"
"16999","Other","Martinique",1,0,"CFU Caribbean Cup","Port of Spain","Trinidad and Tobago",TRUE,"1"
"17000","Trinidad and Tobago","Other",1,0,"CFU Caribbean Cup","Port of Spain","Trinidad and Tobago",FALSE,"1"
"17001","Denmark","Germany",2,0,"UEFA Euro","Gothenburg","Sweden",TRUE,"1"
"17002","Other","Other",1,1,"Friendly","Khartoum","Other",FALSE,"0"
"17003","Other","Martinique",1,1,"CFU Caribbean Cup","Port of Spain","Trinidad and Tobago",TRUE,"0"
"17004","Trinidad and Tobago","Other",3,1,"CFU Caribbean Cup","Port of Spain","Trinidad and Tobago",FALSE,"1"
"17005","United States","Other",0,0,"Friendly","Piscataway","United States",FALSE,"0"
"17006","Other","Other",1,4,"FIFA World Cup qualification","Port Vila","Other",FALSE,"2"
"17007","Other","Other",0,4,"African Cup of Nations qualification","Gaborone","Other",FALSE,"2"
"17008","Other","Other",1,0,"African Cup of Nations qualification","Praia","Other",FALSE,"1"
"17009","Other","Other",0,1,"Friendly","Khartoum","Other",TRUE,"2"
"17010","China PR","Other",2,3,"Friendly","Shanghai","China PR",FALSE,"2"
"17011","Other","Other",4,0,"Friendly","Tegucigalpa","Other",FALSE,"1"
"17012","Other","Other",2,1,"Friendly","Tashkent","Other",FALSE,"1"
